source,base_url,category,default_method,fallback_method,requires_login,enabled,last_checked,status,notes
LinkedIn Jobs,https://www.linkedin.com/jobs/,portal,chrome-devtools,playwright-extension,yes,true,,not-checked,
Naukri,https://www.naukri.com/,portal,chrome-devtools,playwright-extension,recommended,true,,not-checked,
Hirist,https://www.hirist.tech/,portal,chrome-devtools,direct-web,recommended,true,,not-checked,
Cutshort,https://cutshort.io/,portal,chrome-devtools,playwright-extension,recommended,true,,not-checked,
Instahyre,https://www.instahyre.com/,portal,chrome-devtools,playwright-extension,yes,true,,not-checked,
Wellfound,https://wellfound.com/jobs,portal,chrome-devtools,playwright-extension,recommended,true,,not-checked,
YC Work at a Startup,https://www.workatastartup.com/,portal,direct-web,chrome-devtools,no,true,,not-checked,
Remote.com Jobs,https://remote.com/jobs,portal,direct-web,playwright-extension,no,true,,not-checked,
Himalayas,https://himalayas.app/jobs,portal,direct-web,chrome-devtools,no,true,,not-checked,
We Work Remotely,https://weworkremotely.com/,portal,direct-web,employer-site,no,true,,not-checked,
Remote OK,https://remoteok.com/,portal,direct-web,employer-site,no,true,,not-checked,
Indeed,https://www.indeed.com/,portal,chrome-devtools,direct-web,recommended,true,,not-checked,
Working Nomads,https://www.workingnomads.com/jobs,portal,direct-web,employer-site,no,true,,not-checked,
Built In,https://builtin.com/jobs,portal,direct-web,chrome-devtools,no,true,,not-checked,
Arc.dev,https://arc.dev/remote-jobs,portal,chrome-devtools,playwright-extension,recommended,true,,not-checked,
Weekday,https://www.weekday.works/,portal,direct-web,chrome-devtools,sometimes,true,,not-checked,
Employer career sites,,company,direct-web,chrome-devtools,no,true,,not-checked,
Greenhouse,https://job-boards.greenhouse.io/,ats,direct-web,chrome-devtools,no,true,,not-checked,
Lever,https://jobs.lever.co/,ats,direct-web,chrome-devtools,no,true,,not-checked,
Ashby,https://jobs.ashbyhq.com/,ats,direct-web,chrome-devtools,no,true,,not-checked,
Workday,https://www.myworkdayjobs.com/,ats,chrome-devtools,playwright-extension,no,true,,not-checked,
SmartRecruiters,https://jobs.smartrecruiters.com/,ats,direct-web,chrome-devtools,no,true,,not-checked,
Workable,https://apply.workable.com/,ats,direct-web,chrome-devtools,no,true,,not-checked,
VC portfolio job boards,,startup,direct-web,employer-site,no,true,,not-checked,
